Manufacturer,Category,Screen Size,RAM,Storage,Operating System,Weight,Price,Screen Name
Acer,Notebook,15.6,6.0,1,Windows,2.23,4881708.0,Full HD
Asus,Ultrabook,15.6,8.0,256,Windows,1.7,9335711.0,Full HD
HP,Ultrabook,12.5,8.0,256,Windows,1.26,11870820.0,Full HD
Dell,Notebook,15.6,14.0,1,Windows,2.06,23465988.0,Other Screen Name
MSI,Gaming,17.3,8.0,256,Windows,2.7,10661508.0,Full HD
Toshiba,Notebook,15.6,8.0,256,Windows,2.0,8385156.0,IPS Panel Full HD
Asus,Notebook,14.0,8.0,256,Windows,2.0,11861928.0,Full HD
Lenovo,Notebook,15.6,4.0,1,Windows,1.85,3992508.0,Full HD
Asus,Gaming,15.6,8.0,256,Windows,2.5,8883108.0,Full HD
HP,Notebook,14.0,8.0,256,Windows,1.48,11275056.0,Full HD
Dell,Ultrabook,15.6,8.0,128,Windows,1.9,9327708.0,IPS Panel Full HD
HP,Notebook,15.6,8.0,256,Windows,1.84,10172448.0,Full HD
Asus,Notebook,15.6,4.0,1,Linux,2.0,2445211.0,Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.0,10161333.0,Full HD
Dell,Notebook,15.6,4.0,500,Linux,2.2,2444411.0,Full HD
Lenovo,Notebook,15.6,12.0,2,Windows,2.2,7993908.0,Full HD
HP,Notebook,15.6,8.0,1,Windows,2.1,6366672.0,IPS Panel Full HD
Lenovo,2 in 1 Convertible,13.9,14.0,512,Windows,1.4,18664308.0,Other Screen Name
Dell,Ultrabook,13.3,8.0,256,Windows,1.2,14040468.0,Full HD
Lenovo,Gaming,15.6,14.0,256,Windows,2.4,10039068.0,IPS Panel Full HD
HP,Notebook,14.0,2.0,32,Windows,1.44,2480868.0,IPS Panel Full HD
Dell,Ultrabook,15.6,14.0,512,Windows,1.88,14297980.0,Full HD
Asus,2 in 1 Convertible,11.600000000000001,4.0,32,Windows,1.5,3334500.0,Touchscreen
Dell,Ultrabook,15.6,8.0,1,Windows,1.9,5895396.0,Full HD
Dell,Notebook,15.6,14.0,512,Windows,2.06,18027819.0,Other Screen Name
HP,Notebook,15.6,8.0,256,Windows,1.84,11595168.0,Full HD
MSI,Gaming,17.3,8.0,128,Windows,2.7,12528828.0,Full HD
HP,Workstation,15.6,8.0,256,Windows,2.6,15456697.0,Full HD
Toshiba,Notebook,15.6,14.0,512,Windows,2.4,12475476.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,128,Windows,2.02,8633243.0,Full HD
Lenovo,Notebook,15.6,4.0,1,MacOS,2.2,2863135.0,IPS Panel Full HD
Dell,Gaming,15.6,8.0,1,Windows,2.65,8883108.0,Full HD
Dell,Notebook,15.6,8.0,2,Windows,2.36,4956134.0,Touchscreen
Dell,Notebook,14.0,8.0,256,Windows,1.36,12688884.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,1.86,3903588.0,Full HD
Asus,Notebook,14.0,8.0,256,Windows,2.0,8402940.0,Full HD
Lenovo,Notebook,17.3,6.0,128,Windows,2.8,6393348.0,IPS Panel Full HD
HP,Notebook,15.6,8.0,1,Windows,1.86,5681988.0,Full HD
Lenovo,Notebook,15.6,8.0,256,MacOS,2.2,4437108.0,IPS Panel Full HD
HP,Notebook,15.6,8.0,2,Windows,2.04,3458988.0,Full HD
Dell,Notebook,17.3,8.0,128,Windows,2.8,9647820.0,Full HD
Lenovo,Gaming,15.6,8.0,128,MacOS,2.4,7193628.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.33,7993908.0,Full HD
HP,Ultrabook,14.0,8.0,256,Windows,1.36,15561000.0,IPS Panel Full HD
Asus,2 in 1 Convertible,15.6,12.0,512,Windows,2.26,9772308.0,Full HD / Touchscreen
Acer,Notebook,15.6,4.0,128,Windows,2.1,3787992.0,Full HD
Asus,Gaming,17.3,14.0,256,Windows,3.25,19553508.0,IPS Panel Full HD
Lenovo,Notebook,17.3,4.0,128,Windows,2.6,4348188.0,IPS Panel Full HD
Dell,2 in 1 Convertible,13.3,8.0,256,Windows,1.62,7727237.0,Full HD / Touchscreen
HP,Notebook,15.6,4.0,256,Windows,1.91,4348099.0,Full HD
Lenovo,Netbook,11.600000000000001,4.0,128,Windows,1.59,4917276.0,Other Screen Name
Dell,Notebook,15.6,4.0,500,Windows,1.8,2747628.0,Full HD / Touchscreen
Asus,Notebook,14.0,4.0,32,Windows,1.5,2543112.0,IPS Panel Full HD
Acer,Notebook,15.6,8.0,1,Linux,2.4,7522632.0,Full HD
HP,Gaming,17.3,8.0,128,Windows,3.35,10590372.0,IPS Panel Full HD
Lenovo,Notebook,15.6,4.0,128,MacOS,1.85,3587922.0,Full HD
Asus,Gaming,15.6,8.0,128,Windows,2.3,14716260.0,IPS Panel Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.5,9772308.0,IPS Panel Full HD
Asus,Ultrabook,13.3,14.0,512,Windows,1.1,15551219.0,Full HD / Touchscreen
Lenovo,Ultrabook,14.0,8.0,512,Windows,1.13,20291544.0,Other Screen Name
Lenovo,Notebook,13.3,4.0,128,Windows,1.5,4881708.0,IPS Panel Full HD
Dell,Workstation,15.6,8.0,500,Windows,2.23,12173148.0,Full HD
Dell,Workstation,15.6,8.0,256,Windows,2.0,18984420.0,IPS Panel Full HD
Lenovo,2 in 1 Convertible,14.0,14.0,512,Windows,1.42,22310028.0,Touchscreen
Asus,Gaming,17.3,8.0,1,Windows,3.0,9238788.0,Full HD
Asus,Gaming,17.3,14.0,256,Windows,3.0,14147172.0,Full HD
Acer,Notebook,15.6,12.0,1,Windows,2.2,6170959.0,Other Screen Name
MSI,Gaming,17.3,8.0,256,Windows,2.7,11995308.0,Full HD
Dell,Notebook,15.6,8.0,256,Linux,2.33,6925712.0,Full HD
HP,Ultrabook,15.6,4.0,256,Windows,1.91,4437108.0,Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.1,10933248.0,IPS Panel Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.9,8340696.0,IPS Panel Full HD
Dell,Workstation,15.6,8.0,256,Windows,1.78,24115104.0,Other Screen Name
Lenovo,Ultrabook,14.0,14.0,1,Windows,1.13,23341500.0,Other Screen Name
Lenovo,Notebook,15.6,4.0,1,Windows,2.2,2720952.0,Other Screen Name
Asus,Gaming,17.3,14.0,256,Windows,2.9,13595868.0,Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.1,10176894.0,IPS Panel Full HD
Acer,Notebook,15.6,8.0,256,Linux,2.5,7816068.0,Full HD
MSI,Gaming,17.3,14.0,256,Windows,2.8,19998108.0,Full HD
Asus,Ultrabook,14.0,8.0,512,Windows,1.1,16654716.0,Full HD
Toshiba,Ultrabook,13.3,14.0,512,Windows,1.2,15534324.0,Full HD
Dell,Ultrabook,14.0,8.0,512,Windows,1.36,14938560.0,Full HD
Lenovo,Notebook,15.6,4.0,500,Windows,2.2,3636828.0,Full HD
Lenovo,Notebook,11.600000000000001,2.0,32,Windows,1.15,2707169.0,Full HD
Lenovo,Workstation,15.6,8.0,512,Windows,2.67,17117100.0,Full HD
Lenovo,Ultrabook,14.0,8.0,512,Windows,1.7,17277156.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,1,Windows,2.1,4170348.0,Full HD
Acer,2 in 1 Convertible,13.3,8.0,256,Windows,1.6,7015877.0,IPS Panel Full HD / Touchscreen
Asus,2 in 1 Convertible,13.3,8.0,256,Windows,1.27,8251776.0,IPS Panel Full HD / Touchscreen
Dell,Notebook,15.6,4.0,256,Linux,2.3,5325419.0,Full HD
Dell,Notebook,13.3,4.0,128,Windows,1.65,6126588.0,Full HD
HP,Ultrabook,14.0,8.0,256,Windows,1.43,13338000.0,Full HD
Dell,Notebook,15.6,8.0,1,Windows,2.14,4801235.0,Full HD
Lenovo,Ultrabook,14.0,8.0,256,Windows,1.75,10807159.0,IPS Panel Full HD
Lenovo,2 in 1 Convertible,15.6,14.0,512,Windows,2.0,16885908.0,Other Screen Name
Other Manufacturer,Notebook,12.3,6.0,64,Windows,1.4,3992508.0,IPS Panel Retina Display
HP,Notebook,15.6,8.0,256,Windows,2.31,12688884.0,Full HD
Asus,Notebook,15.6,8.0,1,Linux,2.3,5308524.0,Full HD
Dell,Gaming,17.3,14.0,256,Windows,3.5250000000000004,24888708.0,Other Screen Name
Dell,Gaming,15.6,8.0,128,Windows,2.62,10305828.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.02,10158221.0,Full HD
Dell,Ultrabook,14.0,8.0,256,Linux,1.6,9772308.0,Full HD
HP,Gaming,17.3,12.0,256,Windows,3.35,17775108.0,Full HD
Other Manufacturer,2 in 1 Convertible,11.600000000000001,4.0,32,Windows,1.16,2658708.0,IPS Panel Full HD / Touchscreen
Other Manufacturer,Netbook,11.600000000000001,4.0,16,MacOS,1.15,2391948.0,IPS Panel Full HD
Lenovo,Notebook,13.3,8.0,256,Windows,1.4,8980920.0,IPS Panel Full HD
Lenovo,Notebook,14.0,4.0,128,Windows,1.7,5326308.0,IPS Panel Full HD
Lenovo,Workstation,15.6,14.0,512,Windows,2.3,21740940.0,Other Screen Name
Lenovo,Notebook,15.6,14.0,512,Windows,2.5,21776508.0,Full HD
Asus,Gaming,17.3,8.0,256,Windows,3.2,15071940.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,2.1,3085524.0,Full HD
Other Manufacturer,Ultrabook,12.3,14.0,512,MacOS,1.1,19553508.0,Touchscreen
Lenovo,Ultrabook,14.0,14.0,512,Windows,1.32,21180744.0,Full HD
Asus,Notebook,15.6,4.0,256,Linux,2.0,4970628.0,Full HD
Lenovo,Notebook,17.3,8.0,1,Windows,2.8,4614948.0,Full HD
Dell,Notebook,15.6,4.0,256,Windows,2.2,6660108.0,Full HD
Lenovo,Ultrabook,12.5,8.0,256,Windows,1.36,12706668.0,IPS Panel Full HD
Lenovo,Notebook,15.6,4.0,128,Windows,2.2,3103308.0,Full HD
HP,Gaming,15.6,8.0,128,Windows,2.2,9772308.0,IPS Panel Full HD
Dell,Notebook,14.0,8.0,256,Windows,1.64,10483668.0,Full HD
Acer,Notebook,15.6,4.0,500,Linux,2.4,3928486.0,IPS Panel Full HD / Touchscreen
Dell,Workstation,15.6,8.0,64,Windows,2.23,17721756.0,Full HD
MSI,Gaming,15.6,8.0,256,Windows,2.2,9138664.0,Full HD
Other Manufacturer,Ultrabook,13.5,14.0,512,Windows,1.25,23021388.0,Touchscreen
HP,Notebook,15.6,8.0,128,Windows,1.91,5237388.0,IPS Panel Full HD
Dell,Workstation,15.6,14.0,256,Windows,2.17,17561700.0,IPS Panel Full HD
HP,Workstation,15.6,8.0,512,Windows,2.31,13640328.0,IPS Panel Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.65,11959740.0,Full HD
Dell,Notebook,15.6,8.0,128,Windows,2.36,8705268.0,Full HD
Dell,2 in 1 Convertible,11.600000000000001,4.0,500,Windows,1.47,4259268.0,Touchscreen
Dell,Notebook,17.3,8.0,1,Windows,3.5250000000000004,18193032.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,13.5,4.0,128,Windows,1.252,8794188.0,Touchscreen
Other Manufacturer,Ultrabook,13.5,8.0,256,Windows,1.25,15996708.0,Touchscreen
HP,Notebook,17.3,8.0,256,Windows,2.5,5689991.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.23,4837248.0,Full HD
Acer,Netbook,11.600000000000001,4.0,128,Windows,1.4,3868020.0,Full HD
Asus,Notebook,15.6,8.0,1,Windows,2.37,6660108.0,Full HD
Lenovo,Notebook,14.0,8.0,512,MacOS,1.5,7104708.0,IPS Panel Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.67,18584280.0,Full HD
Asus,Notebook,15.6,4.0,500,Windows,2.0,2703168.0,Full HD
Acer,Notebook,15.6,4.0,500,Windows,2.2,4170348.0,Full HD
Dell,Notebook,15.6,8.0,2,Windows,2.02,6749028.0,Full HD
HP,Gaming,17.3,12.0,1,Windows,3.5250000000000004,15107508.0,IPS Panel Full HD
Lenovo,Ultrabook,14.0,12.0,256,Windows,1.4,16521336.0,Other Screen Name
HP,2 in 1 Convertible,13.3,8.0,512,Windows,1.29,17775108.0,Other Screen Name
HP,Notebook,15.6,8.0,500,Windows,1.9,10261368.0,Full HD
Other Manufacturer,Ultrabook,12.3,8.0,128,MacOS,1.1,11337300.0,Touchscreen
Dell,Ultrabook,13.3,8.0,256,Windows,1.42,16377730.0,Full HD / Touchscreen
Asus,Notebook,15.6,12.0,128,Windows,2.06,11550708.0,Other Screen Name
Dell,Notebook,14.0,8.0,128,Windows,1.79,6580080.0,Full HD / Touchscreen
Dell,Workstation,15.6,8.0,256,Windows,1.78,21411936.0,Full HD
Lenovo,Notebook,14.0,8.0,1,Windows,1.7,12128688.0,Full HD
Dell,Notebook,15.6,8.0,1,Windows,2.2,6002100.0,Full HD
Toshiba,Notebook,13.3,8.0,256,Windows,1.05,14867424.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,512,Windows,2.16,11221704.0,IPS Panel Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.18,5216047.0,IPS Panel Full HD
HP,Notebook,13.3,4.0,128,Windows,1.49,6455592.0,IPS Panel Full HD
Other Manufacturer,Notebook,15.6,4.0,64,Windows,1.89,2213219.0,Full HD
Lenovo,Notebook,15.6,4.0,128,Windows,2.3,5023980.0,Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.75,9327708.0,IPS Panel Full HD
Dell,Workstation,15.6,14.0,512,Windows,2.17,20789496.0,IPS Panel Full HD
Dell,Notebook,15.6,14.0,512,Windows,2.06,16885908.0,Full HD
Lenovo,Ultrabook,12.5,14.0,512,Windows,1.36,15987816.0,IPS Panel Full HD
Asus,Ultrabook,12.5,14.0,512,Windows,0.91,17339400.0,Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.3,8998615.0,IPS Panel Full HD
Toshiba,Ultrabook,13.3,14.0,512,Windows,1.05,24888708.0,Full HD / Touchscreen
Asus,Gaming,15.6,8.0,128,Windows,1.99,12004200.0,Full HD
Acer,Notebook,15.6,8.0,1,Windows,2.2,5148468.0,Full HD
Asus,Gaming,17.3,14.0,256,Windows,3.5250000000000004,11283948.0,IPS Panel Full HD / Touchscreen
Lenovo,Ultrabook,12.5,8.0,1,Windows,1.3,9772308.0,Other Screen Name
Lenovo,Notebook,15.6,8.0,256,Windows,2.17,7993019.0,Full HD
HP,Notebook,14.0,8.0,1,Windows,1.48,15552108.0,Full HD
Lenovo,Notebook,13.3,8.0,256,Windows,1.4,8438508.0,IPS Panel Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.3,8100612.0,IPS Panel Full HD
Asus,Netbook,11.600000000000001,4.0,64,Windows,1.2,3023280.0,IPS Panel Full HD / Touchscreen
HP,Notebook,15.6,8.0,256,Windows,1.91,5504059.0,Full HD
Lenovo,2 in 1 Convertible,13.9,8.0,256,Windows,1.4,14218308.0,IPS Panel Full HD / Touchscreen
Lenovo,Notebook,14.0,4.0,500,Windows,2.1,2658708.0,IPS Panel Full HD / Touchscreen
Lenovo,Netbook,11.600000000000001,4.0,16,MacOS,1.25,2356380.0,IPS Panel Full HD / Touchscreen
Lenovo,Notebook,13.3,8.0,256,Windows,1.44,8438508.0,Full HD
Asus,Notebook,15.6,8.0,256,Windows,2.0,10883808.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.2,5450796.0,IPS Panel Full HD
HP,Ultrabook,13.3,8.0,512,Windows,1.34,11764116.0,IPS Panel Full HD
Lenovo,Gaming,15.6,8.0,256,MacOS,2.4,10216908.0,IPS Panel Full HD
Dell,Ultrabook,13.3,8.0,128,Windows,1.29,7993908.0,IPS Panel Full HD / Touchscreen
Acer,Notebook,15.6,4.0,500,Windows,2.2,5681988.0,Full HD
Dell,Notebook,15.6,8.0,1,Windows,2.18,7433712.0,Full HD
Dell,Notebook,15.6,14.0,256,Windows,2.2,10841482.0,Full HD
Other Manufacturer,Notebook,15.6,14.0,256,MacOS,1.95,12448355.0,IPS Panel Full HD
Asus,Netbook,11.600000000000001,2.0,32,Windows,1.1,2178540.0,Full HD
HP,Notebook,15.6,4.0,1,Windows,2.04,4636911.0,Touchscreen
Asus,Gaming,15.6,14.0,512,Windows,2.24,24958343.625,Full HD
HP,Notebook,15.6,8.0,256,Windows,2.04,7904988.0,Full HD
Asus,Gaming,17.3,14.0,256,Windows,3.0,13373568.0,Full HD
Lenovo,Gaming,15.6,8.0,256,Windows,3.2,12439908.0,IPS Panel Full HD
HP,Ultrabook,13.3,8.0,256,Windows,1.32,12439908.0,IPS Panel Full HD
Dell,Notebook,14.0,8.0,256,Windows,1.64,11379359.0,Full HD
HP,Notebook,15.6,4.0,128,Windows,1.63,6126588.0,IPS Panel Full HD
Dell,Notebook,17.3,8.0,128,Linux,2.8,7904988.0,IPS Panel Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,2.02,11915280.0,Full HD
Lenovo,Notebook,15.6,4.0,1,Windows,2.2,7104708.0,Full HD
Lenovo,Notebook,15.6,8.0,2,MacOS,2.2,4081428.0,Full HD
Dell,Notebook,15.6,4.0,500,Windows,2.3,5201820.0,Full HD
Dell,Notebook,15.6,8.0,256,Windows,1.9,12244284.0,Full HD
Dell,Gaming,17.3,14.0,128,Windows,3.5250000000000004,24958343.625,IPS Panel Full HD
Toshiba,Notebook,15.6,8.0,500,Windows,2.0,7647120.0,IPS Panel Full HD
Asus,Notebook,15.6,8.0,256,Windows,2.0,11550708.0,Other Screen Name
Other Manufacturer,Notebook,13.3,4.0,32,Windows,1.2,3281148.0,IPS Panel Full HD
Asus,Gaming,15.6,8.0,128,Windows,2.3,14662908.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,1.93,12173148.0,Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.2,7090570.0,Full HD
HP,Notebook,15.6,4.0,256,Windows,1.86,3547819.0,Full HD
HP,Gaming,17.3,12.0,1,Windows,2.62,15996708.0,Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.87,7638228.0,IPS Panel Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.2,12439908.0,Quad HD+ / Touchscreen
Dell,Notebook,14.0,4.0,128,Windows,1.6,6543356.0,Full HD
HP,Ultrabook,13.3,8.0,256,Windows,1.34,10181340.0,Other Screen Name
Acer,Gaming,15.6,8.0,1,Linux,2.4,7095816.0,Full HD
Asus,Notebook,15.6,4.0,500,Windows,2.0,3103308.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,128,Windows,2.1,6273306.0,Full HD
Lenovo,Notebook,14.0,4.0,500,Windows,1.87,6980220.0,Full HD
Lenovo,Notebook,15.6,4.0,1,MacOS,2.15,4111216.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,1.86,3530124.0,Full HD
Lenovo,Notebook,15.6,8.0,512,Windows,1.99,15374268.0,IPS Panel Full HD
Lenovo,Notebook,15.6,4.0,128,Windows,2.2,4437108.0,Full HD
Dell,Notebook,15.6,8.0,256,Windows,1.9,9932275.0,Full HD
Dell,Gaming,17.3,14.0,256,Windows,3.5250000000000004,23999508.0,IPS Panel Full HD
HP,Notebook,17.3,8.0,1,Windows,2.65,4838582.0,Full HD
HP,Notebook,17.3,8.0,1,Windows,2.63,11381760.0,Full HD
Asus,Notebook,15.6,4.0,500,Linux,2.0,1991808.0,IPS Panel Full HD
Other Manufacturer,Notebook,13.3,4.0,32,Windows,1.35,2267460.0,IPS Panel Full HD
Lenovo,Notebook,17.3,6.0,128,Windows,2.8,8438508.0,Full HD
HP,Notebook,15.6,6.0,128,Windows,1.91,5058659.0,IPS Panel Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.18,5494367.0,IPS Panel Full HD
Acer,2 in 1 Convertible,11.600000000000001,4.0,32,Windows,1.25,3103308.0,IPS Panel Full HD / Touchscreen
Lenovo,Notebook,15.6,4.0,128,Windows,2.05,5601960.0,Full HD
HP,Ultrabook,13.3,14.0,512,Windows,1.16,17472780.0,Other Screen Name
Lenovo,Notebook,17.3,8.0,256,Windows,3.4,24958343.625,IPS Panel Full HD
Asus,Notebook,15.6,8.0,128,Windows,2.5,7460388.0,Full HD
Dell,Ultrabook,13.3,8.0,128,Windows,1.21,14218308.0,Other Screen Name
Dell,Notebook,15.6,4.0,500,Windows,1.93,8527428.0,Other Screen Name
Other Manufacturer,Notebook,15.6,8.0,1,Windows,2.2,6571188.0,Full HD
Lenovo,Notebook,15.6,4.0,500,Windows,2.2,3058848.0,Full HD
Lenovo,Notebook,14.0,4.0,500,Windows,2.02,8803080.0,Full HD
HP,Workstation,17.3,8.0,500,Windows,3.14,16547923.0,Other Screen Name
HP,Notebook,14.0,8.0,2,Windows,1.94,3458988.0,Other Screen Name
HP,Notebook,15.6,6.0,256,Windows,1.95,5770908.0,IPS Panel Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.3,7380360.0,Full HD
Lenovo,Notebook,15.6,4.0,500,Windows,2.05,6091020.0,Full HD
Other Manufacturer,Notebook,14.0,4.0,32,Windows,1.4,2214108.0,Full HD
Toshiba,Ultrabook,14.0,14.0,512,Windows,1.24,16583580.0,Full HD / Touchscreen
Lenovo,Gaming,17.3,14.0,256,Windows,3.5250000000000004,23679396.0,IPS Panel Full HD
MSI,Gaming,17.3,14.0,512,Windows,3.5250000000000004,24266268.0,Full HD
Dell,Notebook,15.6,8.0,256,Linux,2.2,6660197.0,Full HD
Other Manufacturer,Notebook,14.0,4.0,32,Windows,1.45,3458988.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,500,Windows,1.9,8967760.0,Full HD
HP,Notebook,13.3,4.0,128,Windows,1.49,6393348.0,Full HD
Dell,Notebook,15.6,14.0,256,Windows,1.93,13670472.0,Full HD
Dell,Netbook,11.600000000000001,4.0,16,MacOS,1.26,2623140.0,Full HD
MSI,Gaming,17.3,14.0,128,Windows,3.5250000000000004,20887308.0,Full HD
HP,Gaming,17.3,14.0,256,Windows,3.5250000000000004,13320216.0,IPS Panel Full HD
Lenovo,Ultrabook,14.0,12.0,256,Windows,1.4,14876316.0,IPS Panel Full HD
Lenovo,Notebook,15.6,12.0,1,Windows,2.2,5415228.0,Touchscreen
Asus,Gaming,17.3,8.0,128,Windows,2.73,15738840.0,IPS Panel Full HD
Asus,2 in 1 Convertible,15.6,8.0,1,Windows,2.2,6571188.0,Touchscreen
Lenovo,Notebook,15.6,12.0,512,Windows,2.2,8438508.0,Full HD
Dell,2 in 1 Convertible,11.600000000000001,4.0,128,Windows,1.39,5361876.0,Touchscreen
Other Manufacturer,Notebook,15.6,14.0,128,Windows,2.5,15107508.0,Full HD
Lenovo,Notebook,17.3,4.0,500,MacOS,2.8,4703868.0,Full HD
Lenovo,Notebook,15.6,8.0,1,Windows,2.29,4081428.0,Full HD
Lenovo,2 in 1 Convertible,13.3,8.0,512,Windows,1.37,18006300.0,IPS Panel Full HD / Touchscreen
Lenovo,Notebook,14.0,8.0,256,Windows,1.7,13106808.0,IPS Panel Full HD
Dell,2 in 1 Convertible,12.5,8.0,256,Windows,1.34,14849640.0,Full HD / Touchscreen
Dell,Workstation,15.6,8.0,256,Windows,2.06,15676596.0,Full HD / Touchscreen
HP,Notebook,15.6,8.0,256,Windows,1.84,10839348.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,2.1,5944124.0,Full HD
Acer,Notebook,14.0,4.0,32,Windows,1.6,2925468.0,Full HD
MSI,Gaming,17.3,14.0,128,Windows,3.5250000000000004,19553508.0,Full HD
Dell,Notebook,15.6,4.0,1,Linux,2.18,4134780.0,Full HD / Touchscreen
MSI,Gaming,15.6,14.0,256,Windows,1.8,20442708.0,Other Screen Name
Toshiba,Notebook,15.6,8.0,256,Windows,2.2,12439908.0,IPS Panel Full HD
Lenovo,Notebook,15.6,6.0,1,Windows,2.4,5015088.0,Full HD
Lenovo,2 in 1 Convertible,15.6,8.0,256,Windows,2.0,11550708.0,IPS Panel Full HD / Touchscreen
Acer,Notebook,14.0,4.0,128,Windows,1.6,3103308.0,Full HD
Lenovo,Notebook,15.6,14.0,1,Windows,2.5,24958343.625,Other Screen Name
Dell,Gaming,15.6,14.0,1,Windows,2.59,7816157.0,Full HD
Dell,Notebook,15.6,4.0,1,Linux,2.18,3947159.0,Full HD
Dell,Notebook,15.6,4.0,1,Linux,2.25,3192228.0,Full HD
Dell,Notebook,15.6,4.0,500,Linux,1.93,7727148.0,Full HD
Asus,Gaming,17.3,8.0,128,Windows,3.0,10385856.0,Full HD
Dell,Notebook,15.6,4.0,128,Linux,2.18,5059548.0,Full HD
HP,Ultrabook,15.6,8.0,512,Windows,1.84,12350988.0,Full HD
MSI,Gaming,15.6,14.0,256,Windows,2.94,20165811.0,Full HD
Acer,2 in 1 Convertible,11.600000000000001,4.0,32,MacOS,1.25,3370068.0,Other Screen Name
HP,Notebook,14.0,8.0,256,Windows,2.31,9994608.0,Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.65,13026780.0,Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.2,6900192.0,Full HD
Other Manufacturer,Notebook,15.6,8.0,256,Windows,2.2,7104708.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,1.88,8287344.0,Full HD
Lenovo,Notebook,15.6,8.0,1,Windows,2.2,7993908.0,Full HD
Other Manufacturer,Notebook,14.0,2.0,32,Windows,1.4,2125188.0,Full HD
Lenovo,Notebook,15.6,4.0,128,MacOS,2.2,4161456.0,Full HD
Asus,2 in 1 Convertible,13.3,6.0,1,Windows,1.5,5682077.0,Full HD / Touchscreen
Dell,Notebook,15.6,8.0,256,Windows,2.0,16183440.0,Full HD
Asus,Ultrabook,14.0,14.0,512,Windows,1.1,16894800.0,Full HD
Dell,Gaming,15.6,14.0,256,Windows,2.62,13151268.0,Full HD
Lenovo,Notebook,15.6,4.0,256,Windows,1.8,7371468.0,Full HD
Lenovo,Notebook,15.6,4.0,1,Windows,2.2,5148468.0,Full HD
Asus,Notebook,15.6,8.0,1,Windows,2.0,3547908.0,Full HD
Asus,Notebook,15.6,8.0,1,Windows,1.99,8061665.0,Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.23,16619148.0,Quad HD+ / Touchscreen
Lenovo,Notebook,14.0,2.0,32,Windows,1.42,2214108.0,Full HD
Lenovo,2 in 1 Convertible,13.3,8.0,256,Windows,1.37,15626979.0,IPS Panel Full HD / Touchscreen
Dell,Notebook,15.6,14.0,1,Windows,2.06,21331908.0,Other Screen Name
Lenovo,Gaming,15.6,8.0,128,Windows,2.5,9861228.0,IPS Panel Full HD
HP,Notebook,17.0,8.0,1,Windows,2.6,4631843.0,Full HD
Lenovo,Ultrabook,14.0,14.0,512,Windows,1.14,21785400.0,IPS Panel Full HD
Asus,Gaming,15.6,8.0,1,MacOS,2.5,10394748.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,500,Windows,2.4,4001400.0,Other Screen Name
Lenovo,Notebook,14.0,4.0,32,Windows,1.43,2436408.0,IPS Panel Full HD
Acer,Ultrabook,14.0,8.0,256,Windows,1.8,8171748.0,IPS Panel Full HD
Other Manufacturer,Gaming,14.0,14.0,256,Windows,1.95,23110308.0,Full HD
Toshiba,Notebook,13.3,8.0,256,Windows,1.2,10785996.0,Full HD
Lenovo,Ultrabook,12.5,8.0,256,Windows,1.36,14084928.0,IPS Panel Full HD
Asus,Gaming,17.3,14.0,512,Windows,3.5250000000000004,24888708.0,IPS Panel Full HD
Acer,Gaming,15.6,8.0,1,Linux,2.4,6304428.0,Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.2,12892511.0,Full HD
MSI,Gaming,15.6,8.0,128,Windows,2.2,10597486.0,Full HD
