Manufacturer,Model Name,Category,Screen Size,RAM,Storage,Operating System,Weight,Price,Screen Name,Resolution Product
Dell,Vostro 5370,Ultrabook,13.3,8,256,Windows,1.41,8438508,Full HD,2073600
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,8,128,Windows,1.91,3964943,IPS Panel Full HD,1049088
HP,Envy 17-U275cl,Notebook,17.3,16,1,Windows,2.9,9416628,IPS Panel Full HD,2073600
MSI,GT73EVR 7RE,Gaming,17.3,16,512,Windows,4.14,22221108,Full HD,2073600
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,8,512,Windows,2.0,15107508,IPS Panel Full HD / Touchscreen,2073600
Dell,Inspiron 5770,Notebook,17.3,8,128,Windows,2.8,10154664,Full HD,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,256,No OS,2.2,3948048,Full HD,2073600
HP,ProBook 450,Notebook,15.6,4,500,Windows,2.1,6420024,IPS Panel Full HD,2073600
Dell,Vostro 3568,Notebook,15.6,4,1,Windows,2.18,5842044,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,8,1,Windows,2.24,5023980,Full HD,2073600
Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,256,Windows,2.67,7104708,Full HD / Touchscreen,2073600
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,512,Windows,1.1,13329108,Full HD / Touchscreen,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,1,No OS,2.2,4152564,Full HD,2073600
HP,Probook 470,Notebook,17.3,8,1,Windows,2.5,9052056,Full HD,2073600
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,8,256,Windows,2.05,7824960,Full HD,2073600
Apple,MacBook Pro,Ultrabook,13.3,8,512,macOS,1.37,17418539,IPS Panel Retina Display,4096000
Asus,Rog Strix,Gaming,17.3,16,256,Windows,3.2,13773708,Full HD,2073600
Dell,Inspiron 3576,Notebook,15.6,8,256,Linux,2.14,6536242,Full HD,2073600
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,16,512,Windows,1.36,22221108,Touchscreen,3686400
Toshiba,Satellite Pro,Notebook,15.6,8,500,Windows,2.2,7220304,Full HD,1049088
Dell,Inspiron 5567,Notebook,15.6,12,1,Windows,2.3,6340618,Full HD,1049088
Dell,Inspiron 5770,Notebook,17.3,8,128,Linux,2.8,9772308,Full HD,2073600
Acer,Aspire A515-51G,Notebook,15.6,8,1,Windows,2.2,6624540,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,4,1,Windows,2.8,4348188,Touchscreen,1440000
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,8,2,No OS,2.8,7549308,Full HD,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,128,Windows,2.8,7638228,Full HD,1440000
Dell,Inspiron 3567,Notebook,15.6,4,1,Linux,2.25,3805776,Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,256,Windows,2.5,7371468,IPS Panel Full HD,2073600
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,6,256,Windows,2.2,5148468,Full HD,2073600
Acer,Aspire A517-51G,Notebook,15.6,8,256,Windows,3.0,8456292,IPS Panel Full HD,2073600
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,12,1,Windows,2.15,5859828,IPS Panel Full HD / Touchscreen,2073600
Lenovo,Thinkpad T570,Notebook,15.6,8,256,Windows,1.95,9754524,IPS Panel Full HD,2073600
Asus,VivoBook S15,Ultrabook,15.6,8,256,Windows,1.7,8687484,Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,256,Windows,2.5,10483668,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,1,No OS,2.2,5859917,Full HD,2073600
Acer,Chromebook C910-C2ST,Notebook,15.6,2,16,Chrome OS,2.19,1769508,IPS Panel Full HD / Touchscreen,1049088
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,8,1,Windows,3.0,10554804,Full HD,2073600
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,8,1,Windows,2.54,4348188,Full HD,1440000
Dell,XPS 15,Notebook,15.6,8,256,Windows,2.0,16263468,Full HD,2073600
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,8,256,Windows,2.05,6571188,Full HD,2073600
Lenovo,Legion Y720-15IKB,Gaming,15.6,8,1,Windows,3.2,11550708,IPS Panel Full HD,2073600
Acer,Aspire A715-71G,Notebook,15.6,8,256,Linux,2.5,8705268,Full HD,2073600
Dell,Precision 7720,Workstation,17.3,16,256,Windows,3.42,25652175,Full HD,2073600
Lenovo,IdeaPad 310-15ABR,Notebook,15.6,6,1,Windows,2.4,4437108,Full HD,2073600
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,16,512,Windows,1.63,13053456,Full HD,2073600
Asus,VivoBook S14,Notebook,14.0,4,128,Windows,1.3,4526028,Full HD,1049088
Asus,Rog GL702VS-GC095T,Gaming,17.3,16,256,Windows,2.9,18868824,Full HD,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,1,Windows,2.8,5770908,Full HD,1440000
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,2,No OS,2.2,4881708,Full HD,1049088
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,8,128,Windows,2.5,11248380,Full HD,2073600
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,1,No OS,2.2,3201031,Full HD,1049088
HP,EliteBook x360,2 in 1 Convertible,13.3,16,256,Windows,1.28,17561700,Full HD / Touchscreen,2073600
Toshiba,Satellite Pro,Notebook,15.6,8,256,Windows,2.2,9274356,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,128,Windows,2.3,7282548,Full HD,2073600
HP,250 G6,Notebook,15.6,4,1,Windows,1.86,4170348,Full HD,2073600
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,8,256,Windows,1.1,8883108,IPS Panel Full HD,2073600
Dell,XPS 13,Ultrabook,13.3,16,1,Windows,1.21,22221108,IPS Panel 4K Ultra HD / Touchscreen,8294400
MSI,GE63VR 7RF,Gaming,15.6,16,256,Windows,2.8,18664308,IPS Panel Full HD,2073600
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,8,256,Windows,2.23,4170348,Full HD,2073600
Asus,VivoBook Flip,2 in 1 Convertible,11.6,2,32,Windows,1.1,2445300,Touchscreen,1049088
Dell,Inspiron 5570,Notebook,15.6,8,128,Windows,2.33,7504848,Full HD,2073600
HP,Spectre x360,2 in 1 Convertible,13.3,16,1,Windows,1.29,21776508,IPS Panel 4K Ultra HD / Touchscreen,8294400
Lenovo,ThinkPad 13,Notebook,13.3,4,16,Chrome OS,1.45,4089431,IPS Panel Full HD,1049088
HP,ProBook 640,Notebook,14.0,8,256,Windows,1.95,8714160,Full HD,2073600
Acer,TravelMate B,Notebook,11.6,4,128,Windows,1.4,4312620,Full HD,1049088
HP,Elitebook 840,Notebook,14.0,8,256,Windows,1.48,11488464,Full HD,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,4,1,Windows,2.79,5237388,IPS Panel Full HD,1440000
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,8,256,Windows,2.0,9727848,Full HD,2073600
HP,ProBook 450,Notebook,15.6,8,1,Windows,2.1,8020584,IPS Panel Full HD,1049088
Acer,Aspire 5,Notebook,15.6,8,256,Windows,2.2,5859828,Full HD,1049088
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,32,Windows,1.44,2596464,IPS Panel Full HD,1049088
Acer,Aspire E5-575,Notebook,15.6,6,1,Windows,2.23,4881708,Full HD,1049088
Asus,VivoBook S15,Ultrabook,15.6,8,256,Windows,1.7,9335711,Full HD,2073600
HP,Elitebook 820,Ultrabook,12.5,8,256,Windows,1.26,11870820,Full HD,2073600
Dell,XPS 15,Notebook,15.6,32,1,Windows,2.06,23465988,4K Ultra HD / Touchscreen,8294400
MSI,GL72M 7REX,Gaming,17.3,8,256,Windows,2.7,10661508,Full HD,2073600
Toshiba,Satellite Pro,Notebook,15.6,8,256,Windows,2.0,8385156,IPS Panel Full HD,2073600
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,8,256,Windows,2.0,11861928,Full HD,2073600
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4,1,Windows,1.85,3992508,Full HD,2073600
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8,256,Windows,2.5,8883108,Full HD,2073600
HP,EliteBook 840,Notebook,14.0,8,256,Windows,1.48,11275056,Full HD,2073600
Dell,Inspiron 7570,Ultrabook,15.6,8,128,Windows,1.9,9327708,IPS Panel Full HD,2073600
HP,Elitebook 850,Notebook,15.6,8,256,Windows,1.84,10172448,Full HD,2073600
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4,1,Linux,2.0,2445211,Full HD,1049088
Dell,Inspiron 7570,Notebook,15.6,8,256,Windows,2.0,10161333,Full HD,2073600
Dell,Inspiron 3552,Notebook,15.6,4,500,Linux,2.2,2444411,Full HD,1049088
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,12,2,Windows,2.2,7993908,Full HD,2073600
HP,ProBook 450,Notebook,15.6,8,1,Windows,2.1,6366672,IPS Panel Full HD,2073600
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,512,Windows,1.4,18664308,IPS Panel 4K Ultra HD / Touchscreen,8294400
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.2,14040468,Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,256,Windows,2.4,10039068,IPS Panel Full HD,2073600
HP,Stream 14-AX001nv,Notebook,14.0,2,32,Windows,1.44,2480868,IPS Panel Full HD,1049088
Dell,Latitude 5590,Ultrabook,15.6,16,512,Windows,1.88,14297980,Full HD,2073600
Asus,VivoBook Flip,2 in 1 Convertible,11.6,4,32,Windows,1.5,3334500,Touchscreen,1049088
Dell,Inspiron 5570,Ultrabook,15.6,8,1,Windows,1.9,5895396,Full HD,2073600
Dell,XPS 15,Notebook,15.6,16,512,Windows,2.06,18027819,4K Ultra HD / Touchscreen,8294400
HP,Elitebook 850,Notebook,15.6,8,256,Windows,1.84,11595168,Full HD,2073600
MSI,GP72MVR 7RFX,Gaming,17.3,8,128,Windows,2.7,12528828,Full HD,2073600
HP,Zbook 15,Workstation,15.6,8,256,Windows,2.6,15456697,Full HD,2073600
Toshiba,Tecra A50-C-21G,Notebook,15.6,16,512,Windows,2.4,12475476,IPS Panel Full HD,2073600
Dell,Inspiron 5570,Notebook,15.6,8,128,Windows,2.02,8633243,Full HD,2073600
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,1,No OS,2.2,2863135,IPS Panel Full HD,1049088
Dell,Inspiron 7577,Gaming,15.6,8,1,Windows,2.65,8883108,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,8,2,Windows,2.36,4956134,Touchscreen,1049088
Dell,Latitude 7480,Notebook,14.0,8,256,Windows,1.36,12688884,Full HD,2073600
HP,250 G6,Notebook,15.6,4,500,Windows,1.86,3903588,Full HD,1049088
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,8,256,Windows,2.0,8402940,Full HD,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,128,Windows,2.8,6393348,IPS Panel Full HD,1440000
HP,250 G6,Notebook,15.6,8,1,Windows,1.86,5681988,Full HD,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,256,No OS,2.2,4437108,IPS Panel Full HD,1049088
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8,2,Windows,2.04,3458988,Full HD,1049088
Dell,Inspiron 5770,Notebook,17.3,8,128,Windows,2.8,9647820,Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,128,No OS,2.4,7193628,IPS Panel Full HD,2073600
Dell,Inspiron 5567,Notebook,15.6,8,256,Windows,2.33,7993908,Full HD,2073600
HP,Elitebook 1040,Ultrabook,14.0,8,256,Windows,1.36,15561000,IPS Panel Full HD,2073600
Asus,ZenBook Flip,2 in 1 Convertible,15.6,12,512,Windows,2.26,9772308,Full HD / Touchscreen,2073600
Acer,Aspire 3,Notebook,15.6,4,128,Windows,2.1,3787992,Full HD,1049088
Asus,Rog Strix,Gaming,17.3,16,256,Windows,3.25,19553508,IPS Panel Full HD,2073600
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,4,128,Windows,2.6,4348188,IPS Panel Full HD,1440000
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,256,Windows,1.62,7727237,Full HD / Touchscreen,2073600
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4,256,Windows,1.91,4348099,Full HD,2073600
Lenovo,Yoga 11e,Netbook,11.6,4,128,Windows,1.59,4917276,IPS Panel,1049088
Dell,Inspiron 3552,Notebook,15.6,4,500,Windows,1.8,2747628,Full HD / Touchscreen,1049088
Asus,VivoBook E403NA,Notebook,14.0,4,32,Windows,1.5,2543112,IPS Panel Full HD,1049088
Acer,Aspire 7,Notebook,15.6,8,1,Linux,2.4,7522632,Full HD,2073600
HP,Omen 17-w212nv,Gaming,17.3,8,128,Windows,3.35,10590372,IPS Panel Full HD,2073600
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4,128,No OS,1.85,3587922,Full HD,2073600
Asus,ROG Strix,Gaming,15.6,8,128,Windows,2.3,14716260,IPS Panel Full HD,2073600
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,8,256,Windows,1.5,9772308,IPS Panel Full HD,2073600
Asus,Zenbook Flip,Ultrabook,13.3,16,512,Windows,1.1,15551219,Full HD / Touchscreen,2073600
Lenovo,Thinkpad X1,Ultrabook,14.0,8,512,Windows,1.13,20291544,IPS Panel,3686400
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,4,128,Windows,1.5,4881708,IPS Panel Full HD,2073600
Dell,Precision 3510,Workstation,15.6,8,500,Windows,2.23,12173148,Full HD,2073600
Dell,Precision 5520,Workstation,15.6,8,256,Windows,2.0,18984420,IPS Panel Full HD,2073600
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,16,512,Windows,1.42,22310028,Touchscreen,3686400
Asus,Rog GL753VD-GC042T,Gaming,17.3,8,1,Windows,3.0,9238788,Full HD,2073600
Asus,Rog GL753VE-GC070T,Gaming,17.3,16,256,Windows,3.0,14147172,Full HD,2073600
Acer,Aspire 5,Notebook,15.6,12,1,Windows,2.2,6170959,IPS Panel,1049088
MSI,Leopard GP72M,Gaming,17.3,8,256,Windows,2.7,11995308,Full HD,2073600
Dell,Inspiron 5567,Notebook,15.6,8,256,Linux,2.33,6925712,Full HD,2073600
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4,256,Windows,1.91,4437108,Full HD,2073600
Lenovo,ThinkPad E580,Notebook,15.6,8,256,Windows,2.1,10933248,IPS Panel Full HD,2073600
Lenovo,ThinkPad L470,Notebook,14.0,8,256,Windows,1.9,8340696,IPS Panel Full HD,2073600
Dell,Precision M5520,Workstation,15.6,8,256,Windows,1.78,24115104,4K Ultra HD / Touchscreen,8294400
Lenovo,Thinkpad X1,Ultrabook,14.0,16,1,Windows,1.13,23341500,IPS Panel,3686400
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,1,Windows,2.2,2720952,IPS Panel,1049088
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16,256,Windows,2.9,13595868,Full HD,2073600
Lenovo,ThinkPad E580,Notebook,15.6,8,256,Windows,2.1,10176894,IPS Panel Full HD,2073600
Acer,Aspire 7,Notebook,15.6,8,256,Linux,2.5,7816068,Full HD,2073600
MSI,GE73VR 7RF,Gaming,17.3,16,256,Windows,2.8,19998108,Full HD,2073600
Asus,Zenbook 3,Ultrabook,14.0,8,512,Windows,1.1,16654716,Full HD,2073600
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,512,Windows,1.2,15534324,Full HD,2073600
Dell,Latitude 7480,Ultrabook,14.0,8,512,Windows,1.36,14938560,Full HD,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,500,Windows,2.2,3636828,Full HD,2073600
Lenovo,Lenovo IdeaPad,Notebook,11.6,2,32,Windows,1.15,2707169,Full HD,1049088
Lenovo,ThinkPad P51,Workstation,15.6,8,512,Windows,2.67,17117100,Full HD,2073600
Lenovo,Thinkpad T470p,Ultrabook,14.0,8,512,Windows,1.7,17277156,IPS Panel Full HD,3686400
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4,1,Windows,2.1,4170348,Full HD,2073600
Acer,Aspire R7,2 in 1 Convertible,13.3,8,256,Windows,1.6,7015877,IPS Panel Full HD / Touchscreen,2073600
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,256,Windows,1.27,8251776,IPS Panel Full HD / Touchscreen,2073600
Dell,Inspiron 3567,Notebook,15.6,4,256,Linux,2.3,5325419,Full HD,2073600
Dell,Latitude 3380,Notebook,13.3,4,128,Windows,1.65,6126588,Full HD,1049088
HP,EliteBook 1040,Ultrabook,14.0,8,256,Windows,1.43,13338000,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,8,1,Windows,2.14,4801235,Full HD,1049088
Lenovo,ThinkPad E480,Ultrabook,14.0,8,256,Windows,1.75,10807159,IPS Panel Full HD,2073600
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,16,512,Windows,2.0,16885908,IPS Panel 4K Ultra HD / Touchscreen,8294400
Chuwi,LapBook 12.3,Notebook,12.3,6,64,Windows,1.4,3992508,IPS Panel Retina Display,4990464
HP,ProBook 650,Notebook,15.6,8,256,Windows,2.31,12688884,Full HD,2073600
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,8,1,Linux,2.3,5308524,Full HD,2073600
Dell,Alienware 17,Gaming,17.3,16,256,Windows,4.42,24888708,IPS Panel,3686400
Dell,Inspiron 7577,Gaming,15.6,8,128,Windows,2.62,10305828,IPS Panel Full HD,2073600
Dell,Inspiron 5570,Notebook,15.6,8,256,Windows,2.02,10158221,Full HD,2073600
Dell,Latitude 5480,Ultrabook,14.0,8,256,Linux,1.6,9772308,Full HD,2073600
HP,Omen 17-w207nv,Gaming,17.3,12,256,Windows,3.35,17775108,Full HD,2073600
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,4,32,Windows,1.16,2658708,IPS Panel Full HD / Touchscreen,2073600
Samsung,Chromebook 3,Netbook,11.6,4,16,Chrome OS,1.15,2391948,IPS Panel Full HD,1049088
Lenovo,Thinkpad 13,Notebook,13.3,8,256,Windows,1.4,8980920,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,4,128,Windows,1.7,5326308,IPS Panel Full HD,2073600
Lenovo,Thinkpad T570,Workstation,15.6,16,512,Windows,2.3,21740940,IPS Panel 4K Ultra HD,8294400
Lenovo,Thinkpad P51,Notebook,15.6,16,512,Windows,2.5,21776508,Full HD,2073600
Asus,Rog Strix,Gaming,17.3,8,256,Windows,3.2,15071940,Full HD,2073600
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,4,500,Windows,2.1,3085524,Full HD,1049088
Google,Pixelbook (Core,Ultrabook,12.3,16,512,Chrome OS,1.1,19553508,Touchscreen,3840000
Lenovo,ThinkPad T470s,Ultrabook,14.0,24,512,Windows,1.32,21180744,Full HD,3686400
Asus,VivoBook Max,Notebook,15.6,4,256,Linux,2.0,4970628,Full HD,2073600
Lenovo,IdeaPad 320-15AST,Notebook,17.3,8,1,Windows,2.8,4614948,Full HD,1440000
Dell,Inspiron 5570,Notebook,15.6,4,256,Windows,2.2,6660108,Full HD,2073600
Lenovo,ThinkPad X270,Ultrabook,12.5,8,256,Windows,1.36,12706668,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,128,Windows,2.2,3103308,Full HD,2073600
HP,Omen 15-AX205na,Gaming,15.6,8,128,Windows,2.2,9772308,IPS Panel Full HD,2073600
Dell,Latitude 5480,Notebook,14.0,8,256,Windows,1.64,10483668,Full HD,2073600
Acer,Aspire ES1-572,Notebook,15.6,4,500,Linux,2.4,3928486,IPS Panel Full HD / Touchscreen,1049088
Dell,Precision 3520,Workstation,15.6,8,64,Windows,2.23,17721756,Full HD,2073600
MSI,GV62 7RD-1686NL,Gaming,15.6,8,256,Windows,2.2,9138664,Full HD,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,16,512,Windows,1.25,23021388,Touchscreen,3393024
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,8,128,Windows,1.91,5237388,IPS Panel Full HD,1049088
Dell,Precision 3520,Workstation,15.6,16,256,Windows,2.17,17561700,IPS Panel Full HD,2073600
HP,ProBook 650,Workstation,15.6,8,512,Windows,2.31,13640328,IPS Panel Full HD,2073600
Lenovo,ThinkPad T470,Notebook,14.0,8,256,Windows,1.65,11959740,Full HD,2073600
Dell,Inspiron 5570,Notebook,15.6,8,128,Windows,2.36,8705268,Full HD,2073600
Dell,Inspiron 3168,2 in 1 Convertible,11.6,4,500,Windows,1.47,4259268,Touchscreen,1049088
Dell,Alienware 17,Notebook,17.3,8,1,Windows,4.42,18193032,IPS Panel Full HD,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,4,128,Windows,1.252,8794188,Touchscreen,3393024
Microsoft,Surface Laptop,Ultrabook,13.5,8,256,Windows,1.25,15996708,Touchscreen,3393024
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,8,256,Windows,2.5,5689991,IPS Panel Full HD,1440000
Acer,Aspire E5-576G,Notebook,15.6,4,1,Windows,2.23,4837248,Full HD,2073600
Acer,TravelMate B,Netbook,11.6,4,128,Windows,1.4,3868020,Full HD,1049088
Asus,Pro P2540UA-AB51,Notebook,15.6,8,1,Windows,2.37,6660108,Full HD,2073600
Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,8,512,No OS,1.5,7104708,IPS Panel Full HD,2073600
Lenovo,Thinkpad P51,Notebook,15.6,8,256,Windows,2.67,18584280,Full HD,2073600
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,4,500,Windows,2.0,2703168,Full HD,1049088
Acer,Aspire 5,Notebook,15.6,4,500,Windows,2.2,4170348,Full HD,1049088
Dell,Inspiron 5570,Notebook,15.6,8,2,Windows,2.02,6749028,Full HD,2073600
HP,Omen 17-an006nv,Gaming,17.3,12,1,Windows,3.78,15107508,IPS Panel Full HD,2073600
Lenovo,Thinkpad T460s,Ultrabook,14.0,12,256,Windows,1.4,16521336,IPS Panel Quad HD+,3686400
HP,Spectre x360,2 in 1 Convertible,13.3,8,512,Windows,1.29,17775108,IPS Panel 4K Ultra HD / Touchscreen,8294400
HP,ZBook 15u,Notebook,15.6,8,500,Windows,1.9,10261368,Full HD,2073600
Google,Pixelbook (Core,Ultrabook,12.3,8,128,Chrome OS,1.1,11337300,Touchscreen,3840000
Dell,Latitude 7390,Ultrabook,13.3,8,256,Windows,1.42,16377730,Full HD / Touchscreen,2073600
Asus,ZenBook Pro,Notebook,15.6,12,128,Windows,2.06,11550708,IPS Panel 4K Ultra HD,8294400
Dell,Latitude E5470,Notebook,14.0,8,128,Windows,1.79,6580080,Full HD / Touchscreen,1049088
Dell,Precision M5520,Workstation,15.6,8,256,Windows,1.78,21411936,Full HD,2073600
Lenovo,Thinkpad T470,Notebook,14.0,8,1,Windows,1.7,12128688,Full HD,2073600
Dell,Inspiron 3576,Notebook,15.6,8,1,Windows,2.2,6002100,Full HD,2073600
Toshiba,Portege X30-D-10J,Notebook,13.3,8,256,Windows,1.05,14867424,IPS Panel Full HD,2073600
Dell,Inspiron 7570,Notebook,15.6,8,512,Windows,2.16,11221704,IPS Panel Full HD,2073600
Dell,Vostro 3568,Notebook,15.6,4,1,Windows,2.18,5216047,IPS Panel Full HD,1049088
HP,ProBook 430,Notebook,13.3,4,128,Windows,1.49,6455592,IPS Panel Full HD,2073600
Chuwi,"Lapbook 15,6",Notebook,15.6,4,64,Windows,1.89,2213219,Full HD,2073600
Lenovo,ThinkPad E570,Notebook,15.6,4,128,Windows,2.3,5023980,Full HD,1049088
Lenovo,ThinkPad E480,Notebook,14.0,8,256,Windows,1.75,9327708,IPS Panel Full HD,2073600
Dell,Precision 3520,Workstation,15.6,16,512,Windows,2.17,20789496,IPS Panel Full HD,2073600
Dell,XPS 15,Notebook,15.6,16,512,Windows,2.06,16885908,Full HD,2073600
Lenovo,Thinkpad X270,Ultrabook,12.5,16,512,Windows,1.36,15987816,IPS Panel Full HD,2073600
Asus,Zenbook UX390UA,Ultrabook,12.5,16,512,Windows,0.91,17339400,Full HD,2073600
Lenovo,Thinkpad E570,Notebook,15.6,8,256,Windows,2.3,8998615,IPS Panel Full HD,2073600
Toshiba,Portege X30-D-10L,Ultrabook,13.3,32,512,Windows,1.05,24888708,Full HD / Touchscreen,2073600
Asus,VivoBook Pro,Gaming,15.6,8,128,Windows,1.99,12004200,Full HD,2073600
Acer,Aspire 5,Notebook,15.6,8,1,Windows,2.2,5148468,Full HD,1049088
Asus,Rog G752VL-UH71T,Gaming,17.3,24,256,Windows,4.33,11283948,IPS Panel Full HD / Touchscreen,2073600
Lenovo,Thinkpad X260,Ultrabook,12.5,8,1,Windows,1.3,9772308,IPS Panel,1049088
Lenovo,Ideapad 520-15IKBR,Notebook,15.6,8,256,Windows,2.17,7993019,Full HD,2073600
HP,EliteBook 840,Notebook,14.0,8,1,Windows,1.48,15552108,Full HD,2073600
Lenovo,ThinkPad 13,Notebook,13.3,8,256,Windows,1.4,8438508,IPS Panel Full HD,2073600
Lenovo,ThinkPad L570,Notebook,15.6,8,256,Windows,2.3,8100612,IPS Panel Full HD,2073600
Asus,VivoBook E201NA,Netbook,11.6,4,64,Windows,1.2,3023280,IPS Panel Full HD / Touchscreen,1049088
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,15.6,8,256,Windows,1.91,5504059,Full HD,1049088
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,8,256,Windows,1.4,14218308,IPS Panel Full HD / Touchscreen,2073600
Lenovo,IdeaPad 320-14IAP,Notebook,14.0,4,500,Windows,2.1,2658708,IPS Panel Full HD / Touchscreen,1049088
Lenovo,Chromebook N23,Netbook,11.6,4,16,Chrome OS,1.25,2356380,IPS Panel Full HD / Touchscreen,1049088
Lenovo,ThinkPad 13,Notebook,13.3,8,256,Windows,1.44,8438508,Full HD,2073600
Asus,ZenBook UX510UX-CN211T,Notebook,15.6,8,256,Windows,2.0,10883808,Full HD,2073600
Acer,Aspire A515-51G-59QF,Notebook,15.6,4,1,Windows,2.2,5450796,IPS Panel Full HD,2073600
HP,Envy 13-AB002nv,Ultrabook,13.3,8,512,Windows,1.34,11764116,IPS Panel Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,256,No OS,2.4,10216908,IPS Panel Full HD,2073600
Dell,XPS 13,Ultrabook,13.3,8,128,Windows,1.29,7993908,IPS Panel Full HD / Touchscreen,2073600
Acer,Aspire A515-51G,Notebook,15.6,4,500,Windows,2.2,5681988,Full HD,2073600
Dell,Vostro 5568,Notebook,15.6,8,1,Windows,2.18,7433712,Full HD,2073600
